name,age,income,city,has_car
Bob,20,3001.0,Madrid,no
Ivy,41,2704.0,Zaragoza,no
Grace,45,2110.0,Madrid,unknown
Hank,36,1980.0,Seville,yes
Alice,61,2601.0,Seville,yes
Diana,32,2172.0,Bilbao,no
Hank,26,1613.0,Seville,yes
Ivy,46,2234.0,Bilbao,yes
Eve,64,0,Valencia,no
Ivy,38,2358.0,Valencia,no
Ivy,22,1369.0,Seville,yes
Diana,68,3291.0,Seville,no
Ivy,42,309.0,Valencia,no
Charlie,28,2143.0,Barcelona,no
Charlie,50,2004.0,Barcelona,yes
Grace,35,2619.0,Barcelona,no
Grace,66,2949.0,Madrid,no
Bob,34,3401.0,Valencia,yes
Ivy,unknown,1930.0,Madrid,no
Bob,47,2969.0,Seville,no
Ivy,32,2657.0,Seville,yes
Alice,44,-,Seville,no
Hank,25,4020.0,Seville,yes
Hank,52,1349.0,Madrid,no
Hank,57,2836.0,Madrid,yes
Grace,67,2812.0,Seville,no
Eve,unknown,2721.0,Bilbao,yes
Hank,34,2104.0,Seville,no
Charlie,47,3162.0,Seville,no
Hank,54,1252.0,Seville,no
Frank,69,2447.0,Bilbao,no
Eve,21,2049.0,Bilbao,yes
Frank,31,1958.0,Bilbao,yes
Frank,33,2843.0,Madrid,no
Alice,32,3362.0,Madrid,yes
Bob,43,-,Valencia,no
Charlie,63,-500,Valencia,no
Bob,21,2540.0,Bilbao,no
Eve,60,1786.0,Barcelona,yes
Grace,50,2294.0,Barcelona,no
Grace,50,2260.0,Bilbao,yes
Eve,53,1943.0,Barcelona,unknown
Ivy,25,2843.0,Bilbao,no
Frank,57,2688.0,Madrid,no
Alice,32,1227.0,Barcelona,no
Hank,45,1179.0,Valencia,yes
Frank,53,2840.0,Barcelona,no
Grace,50,1848.0,Madrid,no
Frank,36,2742.0,Barcelona,yes
Frank,39,3125.0,Barcelona,unknown
Alice,43,1483.0,Barcelona,no
Frank,22,1371.0,Bilbao,unknown
Hank,56,3840.0,Madrid,no
Diana,24,2781.0,Valencia,yes
Grace,42,-,Madrid,no
Alice,52,1753.0,Zaragoza,yes
Diana,24,2092.0,Bilbao,no
Eve,69,0,-,yes
Jack,38,3207.0,Zaragoza,no
Charlie,20,1879.0,Barcelona,yes
Charlie,unknown,3375.0,Seville,yes
Eve,47,2179.0,Barcelona,yes
Jack,52,-,Bilbao,no
Ivy,57,-,Valencia,yes
Alice,43,401.0,Valencia,yes
Charlie,61,2403.0,Zaragoza,yes
Ivy,38,-,Bilbao,yes
Alice,47,3160.0,-,unknown
Ivy,27,991.0,Madrid,no
Charlie,50,3429.0,Barcelona,yes
Jack,33,3156.0,Barcelona,yes
Charlie,54,3502.0,Valencia,yes
Eve,60,2458.0,Valencia,yes
Grace,62,3311.0,Barcelona,yes
Bob,66,1323.0,Bilbao,yes
Frank,26,3070.0,Barcelona,yes
Frank,26,1883.0,Seville,yes
Hank,66,1179.0,Bilbao,no
Jack,unknown,1601.0,Seville,yes
Grace,21,2504.0,Barcelona,no
Eve,34,1841.0,Barcelona,no
Eve,61,2801.0,Madrid,no
Eve,37,1053.0,Bilbao,yes
Ivy,23,798.0,Valencia,no
Diana,56,3598.0,Madrid,no
Bob,29,3223.0,-,unknown
Diana,37,1661.0,Seville,no
Alice,20,2498.0,Bilbao,yes
Bob,50,3316.0,Valencia,unknown
Alice,42,-,-,no
Hank,63,2619.0,Barcelona,yes
Hank,36,3376.0,Barcelona,yes
Grace,30,1915.0,Bilbao,unknown
Eve,28,2525.0,Bilbao,yes
Hank,30,-500,Valencia,no
Bob,42,2282.0,Madrid,yes
Jack,24,2188.0,Barcelona,no
Frank,40,2558.0,Bilbao,yes
Jack,62,2528.0,Bilbao,no
Bob,58,1661.0,Barcelona,no
Eve,51,3141.0,Madrid,unknown
Grace,64,1719.0,Seville,yes
Eve,59,0,Bilbao,yes
Eve,52,-,Valencia,yes
Bob,63,2786.0,Seville,yes
Diana,26,805.0,-,unknown
Charlie,60,3213.0,Barcelona,yes
Diana,34,1958.0,Seville,yes
Grace,56,3476.0,Seville,no
Grace,65,-,Seville,yes
Grace,44,2461.0,Bilbao,yes
Diana,24,4031.0,Seville,no
Jack,38,2278.0,Valencia,yes
Alice,40,3491.0,Madrid,no
Diana,66,2531.0,Seville,no
Bob,67,2832.0,Madrid,yes
Diana,unknown,2556.0,Madrid,no
Jack,67,3178.0,Valencia,no
Diana,41,1952.0,Seville,yes
Jack,40,-,-,no
Eve,61,1989.0,Seville,yes
Grace,53,2580.0,Bilbao,no
Eve,46,2323.0,Barcelona,no
Charlie,42,3068.0,Valencia,yes
Hank,55,3544.0,-,no
Jack,57,-,Valencia,yes
Charlie,44,1913.0,Bilbao,no
Hank,21,0,Valencia,no
Charlie,25,4124.0,Barcelona,yes
Hank,27,-,Seville,yes
Hank,43,2884.0,Barcelona,unknown
Eve,50,1428.0,Madrid,yes
Hank,60,2499.0,Barcelona,yes
Charlie,31,2907.0,Barcelona,yes
Alice,59,2298.0,Valencia,no
Alice,53,3361.0,Bilbao,yes
Eve,22,4349.0,Valencia,no
Jack,37,1742.0,Bilbao,no
Bob,35,1682.0,Seville,yes
Eve,64,1798.0,Madrid,no
Hank,66,3785.0,Barcelona,yes
Charlie,60,3334.0,Zaragoza,yes
Hank,46,2392.0,Seville,no
Diana,44,2529.0,Zaragoza,yes
Ivy,35,1847.0,Barcelona,no
Frank,58,3212.0,Seville,no
Frank,24,2196.0,Bilbao,yes
Bob,33,2292.0,-,unknown
Eve,26,-,Madrid,no
Ivy,44,2350.0,-,yes
Alice,34,2312.0,Valencia,no
Hank,29,-,Bilbao,unknown
Eve,38,3136.0,Seville,yes
Hank,63,3817.0,Seville,yes
Grace,47,2968.0,Barcelona,no
Eve,61,3143.0,Bilbao,yes
Diana,65,2340.0,Barcelona,yes
Grace,65,1934.0,Valencia,no
Bob,37,3023.0,Seville,no
Frank,63,2637.0,Bilbao,no
Alice,65,1362.0,Valencia,yes
Grace,67,2238.0,Seville,yes
Grace,37,2434.0,Valencia,yes
Alice,31,2092.0,Seville,yes
Hank,49,3685.0,Seville,no
Eve,66,2884.0,Seville,yes
Hank,unknown,3599.0,Bilbao,no
Alice,48,2711.0,Seville,no
Bob,27,2565.0,Barcelona,no
Eve,41,1751.0,Seville,no
Bob,55,2510.0,Madrid,no
Diana,48,2510.0,Barcelona,no
Grace,37,1406.0,Bilbao,no
Bob,37,2068.0,Valencia,no
Grace,22,2241.0,Valencia,yes
Bob,34,2831.0,-,yes
Bob,53,2869.0,Barcelona,no
Frank,32,-,Madrid,yes
Hank,69,2875.0,Madrid,unknown
Bob,24,2354.0,Barcelona,yes
Charlie,49,204.0,Bilbao,no
Jack,44,2112.0,Bilbao,yes
Jack,61,3363.0,Seville,unknown
Frank,64,1155.0,Barcelona,yes
Eve,47,2590.0,Valencia,yes
Diana,51,3768.0,Madrid,no
Grace,54,1892.0,Seville,yes
Frank,46,2502.0,Seville,yes
Charlie,29,-,Madrid,no
Alice,41,3802.0,Bilbao,no
Bob,32,2433.0,Bilbao,yes
Jack,43,2537.0,Barcelona,no
Eve,50,3583.0,Seville,yes
Eve,unknown,3029.0,Seville,yes
Eve,32,1799.0,Madrid,no
Hank,61,1982.0,Barcelona,yes
Alice,38,2896.0,Seville,no
Alice,29,2001.0,Zaragoza,yes
Charlie,55,806.0,Seville,no
Eve,55,2457.0,Seville,no
Grace,61,1316.0,Seville,yes
Eve,57,3793.0,Valencia,unknown
Eve,unknown,2641.0,Madrid,no
Jack,48,1776.0,Valencia,yes
Bob,34,1941.0,Zaragoza,unknown
Frank,63,988.0,Bilbao,yes
Frank,33,1620.0,Zaragoza,yes
Eve,34,3313.0,Madrid,yes
Ivy,unknown,4285.0,Valencia,yes
Charlie,64,3081.0,Seville,no
Jack,36,2426.0,Barcelona,no
Diana,56,2154.0,Barcelona,no
Frank,66,1735.0,Bilbao,yes
Frank,59,4148.0,Seville,yes
Ivy,20,2349.0,Seville,yes
Eve,53,4193.0,Barcelona,yes
Charlie,unknown,3615.0,Valencia,unknown
Alice,62,1107.0,Madrid,no
Diana,23,1967.0,Madrid,no
Ivy,69,0,Valencia,no
Alice,28,2436.0,Barcelona,yes
Ivy,41,2452.0,-,yes
Frank,31,4897.0,Valencia,yes
Bob,60,1638.0,Madrid,no
Diana,39,2683.0,Madrid,yes
Frank,57,2993.0,Bilbao,yes
Diana,23,2499.0,Madrid,no
Bob,42,2588.0,Barcelona,yes
Grace,65,1664.0,Valencia,no
Grace,66,2585.0,Barcelona,yes
Bob,30,2909.0,Seville,no
Charlie,39,2762.0,Valencia,yes
Charlie,40,2956.0,Madrid,no
Grace,48,3630.0,Bilbao,no
Hank,46,-,Valencia,yes
Hank,unknown,2557.0,Seville,no
Jack,58,1563.0,Madrid,no
Hank,31,2020.0,Seville,no
Diana,35,2324.0,Barcelona,unknown
Bob,62,2702.0,Valencia,no
Grace,54,2117.0,Barcelona,yes
Jack,39,1751.0,-,yes
Jack,65,1549.0,Barcelona,yes
Charlie,39,1179.0,Zaragoza,no
Charlie,48,-,Zaragoza,unknown
Alice,unknown,1324.0,Valencia,no
Bob,29,-,Barcelona,yes
Frank,44,2185.0,Valencia,unknown
Frank,48,1431.0,-,no
Diana,60,2804.0,Seville,yes
Diana,39,3092.0,Seville,unknown
Ivy,64,2060.0,Madrid,yes
Eve,50,2150.0,Bilbao,no
Ivy,23,2930.0,Madrid,no
Jack,56,1929.0,Madrid,unknown
Diana,48,1874.0,Barcelona,yes
Charlie,39,-,Valencia,yes
Jack,43,-,Bilbao,no
Grace,35,2981.0,Bilbao,no
Charlie,50,3241.0,Barcelona,yes
Grace,48,-,Valencia,yes
Frank,42,3583.0,Bilbao,unknown
Jack,34,2814.0,Valencia,no
Charlie,39,3309.0,Madrid,yes
Jack,44,2810.0,Valencia,yes
Jack,43,2539.0,Seville,no
Bob,35,2280.0,-,no
Bob,49,2794.0,Seville,no
Frank,31,2251.0,Madrid,no
Alice,45,3194.0,Seville,yes
Charlie,26,-,Barcelona,no
Eve,43,2067.0,Bilbao,yes
Jack,59,4136.0,Valencia,no
Jack,60,1999.0,Barcelona,yes
Bob,54,2309.0,Valencia,yes
Ivy,57,1794.0,Barcelona,yes
Alice,23,2769.0,Barcelona,yes
Hank,37,1911.0,Seville,yes
Ivy,52,2352.0,Bilbao,no
Ivy,60,3179.0,Bilbao,no
Charlie,49,1941.0,Valencia,no
Ivy,62,3131.0,Madrid,no
Bob,33,3158.0,Valencia,yes
Frank,27,3344.0,Valencia,no
Eve,24,2612.0,Barcelona,yes
Diana,49,5093.0,Bilbao,yes
Alice,53,3344.0,-,yes
Hank,34,-,Madrid,yes
Diana,59,1799.0,Bilbao,no
Grace,56,-,Seville,yes
Eve,38,-,Barcelona,yes
Diana,31,3868.0,Seville,no
Ivy,57,3683.0,Madrid,yes
Alice,53,-,Madrid,no
Hank,28,1495.0,-,yes
Hank,32,2890.0,Seville,no
Diana,44,1507.0,Barcelona,no
Charlie,45,1310.0,Valencia,yes
Alice,28,-500,-,no
Jack,67,2919.0,Valencia,yes
Jack,39,-,Zaragoza,yes
Charlie,39,-,Bilbao,no
Alice,23,2925.0,Barcelona,no
Bob,63,1712.0,Seville,yes
Alice,31,2416.0,Seville,yes
Ivy,69,1294.0,Bilbao,yes
Ivy,44,897.0,Valencia,no
Bob,63,3093.0,Madrid,unknown
Hank,28,1898.0,Madrid,yes
Bob,28,3198.0,Seville,unknown
Diana,60,3387.0,Bilbao,yes
Frank,60,2005.0,Bilbao,no
Hank,47,2972.0,Seville,unknown
Ivy,21,1971.0,Madrid,no
Alice,67,1023.0,Madrid,yes
Bob,39,2599.0,Bilbao,yes
Charlie,66,2123.0,Seville,yes
Diana,unknown,2148.0,Bilbao,no
Jack,62,4080.0,Madrid,unknown
Hank,54,1279.0,Valencia,yes
Diana,53,2806.0,Zaragoza,yes
Jack,46,1704.0,Madrid,yes
Eve,21,3227.0,Madrid,no
Frank,39,2739.0,Seville,no
Eve,56,2803.0,Seville,yes
Bob,60,1744.0,-,no
Jack,47,-,Zaragoza,yes
Alice,55,3242.0,Bilbao,no
Bob,21,3917.0,Madrid,yes
Charlie,43,2884.0,Valencia,yes
Charlie,45,-,Bilbao,no
Bob,64,2771.0,Valencia,no
Alice,35,4442.0,-,yes
Grace,unknown,2582.0,Seville,no
Jack,37,3669.0,Madrid,no
Bob,28,1908.0,Valencia,yes
Charlie,47,2466.0,Seville,unknown
Frank,52,-,Madrid,unknown
Jack,60,-,Barcelona,yes
Grace,68,1887.0,Seville,unknown
Hank,23,1852.0,Madrid,no
Frank,32,3291.0,Barcelona,yes
Eve,35,3453.0,Seville,no
Bob,32,3710.0,Bilbao,yes
Ivy,61,3943.0,Valencia,no
Ivy,unknown,2608.0,-,unknown
Alice,21,2251.0,Zaragoza,yes
Hank,63,3581.0,Valencia,no
Alice,68,3070.0,Madrid,yes
Hank,31,1714.0,Bilbao,no
Ivy,36,-,Barcelona,no
Bob,45,2894.0,Bilbao,yes
Eve,46,2358.0,Seville,no
Bob,69,2479.0,Valencia,yes
Frank,40,3358.0,Seville,no
Jack,20,3107.0,Valencia,no
Alice,41,-,Zaragoza,no
Diana,47,955.0,Barcelona,yes
Jack,45,2703.0,Zaragoza,no
Diana,45,-,Madrid,no
Bob,66,1279.0,Bilbao,no
Eve,60,1976.0,Zaragoza,no
Frank,unknown,1828.0,Valencia,no
Grace,37,2517.0,Madrid,yes
Diana,53,3802.0,Bilbao,yes
Jack,40,-,Bilbao,unknown
Frank,41,1849.0,Barcelona,yes
Charlie,28,2921.0,Valencia,unknown
Jack,32,2947.0,Bilbao,no
Jack,57,2810.0,Barcelona,unknown
Eve,62,2819.0,Seville,no
Alice,59,2743.0,Valencia,no
Frank,35,-,Madrid,no
Frank,26,3382.0,Bilbao,no
Bob,27,1652.0,Barcelona,yes
Grace,39,3137.0,Zaragoza,yes
Ivy,45,3214.0,Seville,yes
Bob,64,2752.0,Valencia,unknown
Hank,64,3405.0,Valencia,yes
Bob,20,2650.0,Valencia,no
Hank,55,2660.0,Bilbao,no
Eve,unknown,2597.0,Seville,yes
Alice,29,885.0,Bilbao,unknown
Jack,47,2436.0,Valencia,yes
Bob,21,1965.0,Barcelona,no
Frank,36,1551.0,Madrid,no
Bob,47,3647.0,Bilbao,yes
Jack,33,2903.0,Valencia,yes
Hank,49,2476.0,Valencia,no
Ivy,43,2048.0,Valencia,yes
Eve,59,2737.0,Valencia,no
Eve,29,3293.0,Seville,no
Grace,22,-,Seville,yes
Hank,46,2496.0,-,yes
Ivy,unknown,3194.0,Madrid,yes
Alice,unknown,951.0,Seville,no
Grace,24,2454.0,Madrid,no
Bob,48,2157.0,Bilbao,yes
Charlie,69,2393.0,Seville,no
Ivy,24,2099.0,Valencia,no
Charlie,35,2610.0,Bilbao,no
Hank,62,4039.0,Valencia,yes
Eve,46,2241.0,Barcelona,yes
Charlie,28,2733.0,Valencia,yes
Diana,30,4096.0,Madrid,no
Frank,58,2060.0,Bilbao,no
Hank,63,3952.0,Bilbao,yes
Grace,38,-,Bilbao,yes
Jack,unknown,3926.0,Bilbao,no
Ivy,59,3100.0,Bilbao,yes
Hank,28,2746.0,Valencia,no
Grace,30,2447.0,Madrid,yes
Charlie,58,2001.0,Valencia,yes
Eve,29,2561.0,Zaragoza,no
Bob,58,3218.0,Zaragoza,yes
Diana,44,2490.0,Bilbao,no
Jack,69,2247.0,Barcelona,yes
Eve,21,2299.0,Barcelona,yes
Bob,67,3294.0,Bilbao,no
Grace,31,3480.0,Madrid,yes
Jack,21,1966.0,Seville,no
Ivy,56,1965.0,Valencia,no
Charlie,46,2803.0,Barcelona,unknown
Eve,61,3722.0,Seville,yes
Frank,25,3417.0,-,yes
Charlie,24,1499.0,Bilbao,yes
Charlie,48,-,Valencia,no
Charlie,64,1756.0,Valencia,yes
Jack,40,2286.0,Zaragoza,yes
Hank,59,3784.0,Seville,no
Ivy,65,1362.0,Valencia,yes
Ivy,unknown,-,Seville,no
Jack,45,1837.0,Barcelona,no
Bob,54,2730.0,Madrid,no
Ivy,46,-,Bilbao,no
Alice,53,2850.0,Seville,yes
Eve,48,3441.0,Madrid,no
Frank,46,1090.0,Barcelona,no
Diana,41,3451.0,-,yes
Bob,52,2250.0,Seville,no
Bob,57,3085.0,Seville,no
Ivy,65,1441.0,Madrid,unknown
Diana,50,2504.0,-,no
Diana,25,2689.0,Bilbao,yes
Jack,49,-,Seville,yes
Bob,35,1232.0,Barcelona,yes
Jack,21,2525.0,Seville,yes
Jack,23,1632.0,Bilbao,yes
Frank,49,2904.0,Bilbao,yes
Bob,67,3122.0,-,yes
Bob,45,3530.0,Seville,no
Charlie,42,2072.0,Barcelona,yes
Frank,24,3242.0,Valencia,no
Bob,53,3589.0,Bilbao,no
Eve,22,1185.0,Barcelona,no
Bob,unknown,2990.0,Barcelona,yes
Frank,60,3267.0,Bilbao,no
Alice,69,2293.0,Valencia,no
Hank,34,1531.0,Bilbao,no
Alice,28,3254.0,Madrid,yes
Bob,34,1540.0,Barcelona,yes
Bob,59,2357.0,Barcelona,no
Ivy,30,-,Seville,yes
Alice,64,3072.0,Bilbao,no
Eve,27,1999.0,Valencia,no
Frank,22,1952.0,Valencia,no
Frank,30,2579.0,Madrid,unknown
Grace,57,3305.0,Seville,no
Ivy,50,4330.0,-,unknown
Diana,37,1294.0,Bilbao,no
Ivy,52,2752.0,Barcelona,yes
Diana,52,1631.0,Seville,no
Jack,47,3315.0,Barcelona,no
Frank,45,1749.0,Madrid,unknown
Hank,25,1960.0,Madrid,yes
Ivy,32,2029.0,Madrid,yes
Hank,46,2439.0,Barcelona,no
Ivy,unknown,2759.0,Bilbao,yes
Frank,43,-,Barcelona,no
Alice,unknown,2495.0,Bilbao,no
Eve,59,1436.0,Zaragoza,yes
Bob,25,3082.0,Seville,yes
Ivy,24,2458.0,Valencia,no
Charlie,51,3429.0,Bilbao,yes
Charlie,31,1934.0,Madrid,no
Charlie,37,1218.0,Valencia,no
Grace,35,2473.0,Valencia,no
Frank,30,-,Bilbao,yes
Jack,58,2629.0,Bilbao,yes
Eve,54,2340.0,Bilbao,no
Charlie,31,1804.0,Seville,yes
Alice,54,3906.0,Valencia,yes
Alice,55,1676.0,Bilbao,unknown
Diana,46,1920.0,Bilbao,yes
Jack,48,2956.0,Valencia,yes
Frank,66,1015.0,-,unknown
Ivy,42,3520.0,Bilbao,yes
Bob,39,2999.0,Valencia,yes
Alice,46,3219.0,Madrid,yes
Ivy,61,2946.0,Barcelona,no
Bob,55,2371.0,Bilbao,no
Alice,23,1649.0,Madrid,no
Eve,42,2388.0,Valencia,unknown
Jack,56,1720.0,Seville,yes
Grace,31,2889.0,Bilbao,no
Alice,69,3145.0,Bilbao,yes
Ivy,60,3681.0,Bilbao,unknown
Ivy,62,2797.0,Valencia,unknown
Ivy,24,3240.0,Madrid,yes
Jack,48,2262.0,Seville,no
Charlie,46,2117.0,Barcelona,no
Jack,51,2879.0,Seville,yes
Diana,62,-,-,no
Ivy,37,-,Seville,unknown
Frank,46,1651.0,Seville,yes
Hank,53,1795.0,Seville,yes
Grace,57,3008.0,Bilbao,unknown
Grace,58,3209.0,Valencia,yes
Grace,36,1711.0,Valencia,yes
Hank,69,3036.0,Madrid,no
Hank,20,2074.0,Seville,no
Bob,44,2513.0,Barcelona,yes
Ivy,50,3634.0,Valencia,yes
Frank,23,3146.0,Bilbao,no
Diana,42,-,Madrid,no
Frank,unknown,0,Seville,no
Jack,50,1937.0,Madrid,no
Ivy,25,1711.0,Barcelona,yes
Ivy,33,1922.0,Madrid,no
Eve,unknown,2296.0,Madrid,no
Hank,51,616.0,-,unknown
Diana,36,-,-,yes
Grace,48,2064.0,Seville,yes
Grace,56,3127.0,Seville,no
Charlie,59,2782.0,Bilbao,unknown
Charlie,29,2019.0,Bilbao,unknown
Alice,65,2972.0,Valencia,yes
Bob,28,3079.0,Madrid,no
Eve,21,1885.0,Seville,yes
Eve,22,2106.0,-,no
Bob,30,720.0,Barcelona,no
Eve,63,1627.0,Valencia,no
Grace,30,1906.0,Valencia,yes
Charlie,54,2559.0,Valencia,unknown
Diana,40,1744.0,Bilbao,yes
Diana,21,-,Valencia,no
Frank,42,1520.0,Zaragoza,no
Diana,21,2637.0,Bilbao,no
Hank,43,2841.0,Madrid,no
Diana,47,2822.0,Bilbao,no
Eve,46,2510.0,Bilbao,yes
Diana,34,1267.0,Valencia,yes
Bob,58,2004.0,Valencia,no
Grace,49,2174.0,Bilbao,no
Charlie,32,2177.0,Valencia,no
Charlie,41,2560.0,Madrid,yes
Hank,25,-,Barcelona,yes
Jack,66,3150.0,Barcelona,no
Grace,unknown,1710.0,Seville,no
Jack,34,3043.0,Madrid,no
Ivy,53,3012.0,Seville,no
Eve,53,1855.0,Valencia,yes
Hank,50,-,Bilbao,yes
Diana,22,2372.0,Valencia,yes
Eve,63,-,Zaragoza,no
Frank,67,2864.0,Zaragoza,yes
Jack,68,2674.0,Barcelona,yes
Ivy,69,-,Seville,unknown
Eve,66,0,Barcelona,yes
Grace,56,1925.0,Bilbao,no
Charlie,22,2988.0,Seville,yes
Ivy,43,2465.0,Barcelona,yes
Frank,32,2633.0,Barcelona,yes
Frank,30,2786.0,Valencia,no
Hank,61,1576.0,Bilbao,no
Grace,60,1785.0,Bilbao,no
Alice,46,732.0,Madrid,unknown
Charlie,56,2952.0,Barcelona,yes
Bob,26,1530.0,Valencia,no
Hank,31,-,Seville,yes
Alice,63,2797.0,Madrid,no
Charlie,42,2982.0,Barcelona,no
Frank,47,1537.0,Bilbao,yes
Grace,43,2448.0,Valencia,unknown
Frank,30,3836.0,Bilbao,no
Ivy,61,3871.0,Valencia,yes
Jack,57,3290.0,Valencia,yes
Bob,54,-,Seville,no
Jack,37,1696.0,Barcelona,no
Grace,52,3075.0,Barcelona,yes
Grace,67,2374.0,-,no
Alice,52,2948.0,Bilbao,yes
Grace,44,1994.0,Bilbao,unknown
Hank,33,-,Madrid,yes
Frank,46,2631.0,Madrid,no
Alice,38,2697.0,Madrid,no
Frank,50,2895.0,Zaragoza,no
Jack,22,2037.0,Bilbao,no
Hank,29,1425.0,Valencia,unknown
Bob,59,-,-,yes
Jack,39,4491.0,Madrid,yes
Jack,41,2858.0,Seville,no
Bob,47,1441.0,Barcelona,yes
Ivy,41,1881.0,Barcelona,no
Eve,57,2907.0,Zaragoza,yes
Frank,32,3573.0,Bilbao,unknown
Eve,57,1530.0,Madrid,no
Hank,30,2401.0,Barcelona,no
Jack,38,2657.0,Seville,yes
Hank,49,3192.0,Madrid,unknown
Jack,64,2225.0,Seville,no
Jack,31,1249.0,Seville,no
Alice,49,2997.0,Barcelona,no
Charlie,23,3400.0,Barcelona,yes
Hank,unknown,2434.0,Barcelona,yes
Frank,58,2824.0,Zaragoza,yes
Alice,55,-,Valencia,no
Alice,38,-,Seville,no
Frank,51,3321.0,Barcelona,yes
Grace,39,2810.0,Seville,unknown
Bob,33,2892.0,Madrid,yes
Bob,41,3702.0,Madrid,no
Bob,35,1656.0,Bilbao,no
Frank,60,2058.0,Bilbao,yes
Alice,40,2626.0,Barcelona,yes
Frank,36,2049.0,Barcelona,no
Eve,46,3127.0,-,no
Eve,57,2350.0,Madrid,yes
Grace,33,1706.0,Barcelona,no
Frank,66,2553.0,Valencia,no
Hank,43,2636.0,Barcelona,yes
Hank,53,3248.0,Seville,no
Jack,67,-,Seville,yes
Hank,41,2869.0,Valencia,no
Frank,29,2756.0,Seville,no
Eve,57,2349.0,Valencia,yes
Charlie,20,1927.0,Bilbao,no
Frank,42,2731.0,Madrid,yes
Bob,68,2234.0,Barcelona,unknown
Jack,40,3852.0,Seville,no
Ivy,54,3574.0,Barcelona,yes
Bob,46,3006.0,Madrid,no
Hank,30,2803.0,Barcelona,yes
Bob,35,2430.0,Seville,no
Hank,46,1491.0,Madrid,unknown
Alice,25,2327.0,Bilbao,no
Eve,40,2581.0,Bilbao,no
Grace,40,2684.0,Seville,no
Hank,61,-500,Barcelona,yes
Eve,26,3237.0,Bilbao,yes
Jack,62,1946.0,Barcelona,unknown
Hank,40,1954.0,Zaragoza,yes
Charlie,52,3661.0,Seville,yes
Grace,47,3117.0,Madrid,yes
Hank,34,2187.0,Bilbao,unknown
Diana,66,2414.0,Valencia,unknown
Hank,31,2418.0,Valencia,yes
Ivy,21,2525.0,Valencia,yes
Ivy,57,2878.0,Seville,no
Hank,51,4528.0,Bilbao,yes
Grace,64,2652.0,Bilbao,unknown
Charlie,42,-,Barcelona,unknown
Hank,unknown,1151.0,Seville,no
Diana,21,-,Seville,yes
Frank,41,3483.0,Seville,no
